location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url
Russia,2020-12-15,Sputnik V,28500,28500,,http://government.ru/news/41122/
Russia,2020-12-22,Sputnik V,52000,52000,,https://tass.com/society/1238521
Russia,2021-01-02,Sputnik V,800000,800000,,https://tass.com/society/1241979
Russia,2021-01-13,Sputnik V,1000000,1000000,,https://twitter.com/redouad/status/1350030539944820736
Russia,2021-03-02,"Sputnik V, EpiVacCorona",5249831,4158334,1091497,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-03,"Sputnik V, EpiVacCorona",5489342,4287423,1201919,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-04,"Sputnik V, EpiVacCorona",6010744,4701175,1309569,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-05,"Sputnik V, EpiVacCorona",6301854,4908178,1393676,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-06,"Sputnik V, EpiVacCorona",6583873,5082127,1501746,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-07,"Sputnik V, EpiVacCorona",6655487,5128138,1527349,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-08,"Sputnik V, EpiVacCorona",6669466,5136605,1532861,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-09,"Sputnik V, EpiVacCorona",6694349,5149589,1544760,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-10,"Sputnik V, EpiVacCorona",7048129,5272651,1775478,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-11,"Sputnik V, EpiVacCorona",7273933,5366009,1907924,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-17,"Sputnik V, EpiVacCorona",7818009,5379359,2438650,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-18,"Sputnik V, EpiVacCorona",7909438,5431048,2478390,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-19,"Sputnik V, EpiVacCorona",8185944,5544777,2641167,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-20,"Sputnik V, EpiVacCorona",8306498,5595893,2710605,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-21,"Sputnik V, EpiVacCorona",8362575,5611139,2751436,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-29,"Sputnik V, EpiVacCorona",11124350,6846664,4277686,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-30,"Sputnik V, EpiVacCorona",11183108,6886259,4296849,https://gogov.ru/articles/covid-v-stats
Russia,2021-03-31,"Sputnik V, EpiVacCorona",11373572,7004336,4369236,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-01,"Sputnik V, EpiVacCorona",11642295,7159411,4482884,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-02,"Sputnik V, EpiVacCorona",11779295,7247479,4531816,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-03,"Sputnik V, EpiVacCorona",12038859,7445035,4593824,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-04,"Sputnik V, EpiVacCorona",12120810,7505764,4615046,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-05,"Sputnik V, EpiVacCorona",12215342,7576640,4638702,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-06,"Sputnik V, EpiVacCorona",12474954,7753876,4721078,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-07,"Sputnik V, EpiVacCorona",13047800,7908918,5138882,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-08,"Sputnik V, EpiVacCorona",13354502,8146598,5207904,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-09,"Sputnik V, EpiVacCorona",13628879,8333331,5295548,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-10,"Sputnik V, EpiVacCorona",13977397,8575951,5401446,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-11,"Sputnik V, EpiVacCorona",14108341,8692848,5415493,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-12,"Sputnik V, EpiVacCorona",14269543,8808044,5461499,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-13,"Sputnik V, EpiVacCorona",14583881,9037705,5546176,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-14,"Sputnik V, EpiVacCorona",14967802,9343939,5623863,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-15,"Sputnik V, EpiVacCorona",15164099,9473241,5690858,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-16,"Sputnik V, EpiVacCorona",15469617,9731470,5738147,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-17,"Sputnik V, EpiVacCorona",15700803,9918665,5782138,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-18,"Sputnik V, EpiVacCorona",16167151,10019885,6147266,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-19,"Sputnik V, EpiVacCorona",16237319,10077017,6160302,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-20,"Sputnik V, EpiVacCorona",16567842,10341593,6226249,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-21,"Sputnik V, EpiVacCorona",16821267,10520393,6300874,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-22,"Sputnik V, EpiVacCorona",17218313,10787419,6430894,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-23,"Sputnik V, EpiVacCorona",17535826,10997801,6538025,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-24,"Sputnik V, EpiVacCorona",18080498,11312625,6767873,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-25,"Sputnik V, EpiVacCorona",18152707,11362893,6789814,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-26,"Sputnik V, EpiVacCorona",18315316,11445394,6869922,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-27,"Sputnik V, EpiVacCorona",18557064,11599037,6958027,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-28,"Sputnik V, EpiVacCorona",19043771,11913555,7130216,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-29,"Sputnik V, EpiVacCorona",19523861,12152170,7371691,https://gogov.ru/articles/covid-v-stats
Russia,2021-04-30,"Sputnik V, EpiVacCorona",19834392,12299770,7534622,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-01,"Sputnik V, EpiVacCorona",19934399,12377978,7556421,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-02,"Sputnik V, EpiVacCorona",20070743,12431003,7639740,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-03,"Sputnik V, EpiVacCorona",20110554,12449156,7661398,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-04,"Sputnik V, EpiVacCorona",20168443,12478994,7689449,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-05,"Sputnik V, EpiVacCorona",20720147,12704207,8015940,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-06,"Sputnik V, EpiVacCorona",21177713,12893563,8284150,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-07,"Sputnik V, EpiVacCorona",21296747,12940465,8356282,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-08,"Sputnik V, EpiVacCorona",21597074,13056228,8540846,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-10,"Sputnik V, EpiVacCorona",21786131,13165465,8620666,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-11,"Sputnik V, EpiVacCorona",21844382,13205698,8638684,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-12,"Sputnik V, EpiVacCorona",22575945,13566658,9009287,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-13,"Sputnik V, EpiVacCorona",22782931,13653498,9129433,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-14,"Sputnik V, EpiVacCorona",23292045,13856566,9435479,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-15,"Sputnik V, EpiVacCorona",23858201,14265642,9592559,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-16,"Sputnik V, EpiVacCorona",23970334,14313416,9656918,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-17,"Sputnik V, EpiVacCorona",24087535,14361832,9725703,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-18,"Sputnik V, EpiVacCorona",24519227,14592957,9926270,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-19,"Sputnik V, EpiVacCorona",24862902,14718070,10144832,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-20,"Sputnik V, EpiVacCorona",25166959,14888987,10277972,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-21,"Sputnik V, EpiVacCorona",25468057,15031015,10437042,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-22,"Sputnik V, EpiVacCorona",26419720,15325919,11093801,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-23,"Sputnik V, EpiVacCorona",26472510,15360666,11111844,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-24,"Sputnik V, EpiVacCorona",26802324,15610238,11192086,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-25,"Sputnik V, EpiVacCorona",27026797,15768938,11257859,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-26,"Sputnik V, EpiVacCorona",27611859,16159658,11452201,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-27,"Sputnik V, EpiVacCorona",27739956,16225813,11514143,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-28,"Sputnik V, EpiVacCorona",28112894,16331436,11781458,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-29,"Sputnik V, EpiVacCorona",28365082,16470154,11894928,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-30,"Sputnik V, EpiVacCorona",28449552,16528341,11921211,https://gogov.ru/articles/covid-v-stats
Russia,2021-05-31,"Sputnik V, EpiVacCorona",28501637,16576370,11925267,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-01,"Sputnik V, EpiVacCorona",29325191,16708973,12616218,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-02,"Sputnik V, EpiVacCorona",29792970,16995885,12797085,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-03,"Sputnik V, EpiVacCorona",30001530,17136365,12865165,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-04,"Sputnik V, EpiVacCorona",30501660,17426711,13074949,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-05,"Sputnik V, EpiVacCorona",30606544,17490525,13116019,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-06,"Sputnik V, EpiVacCorona",30708050,17556908,13151142,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-07,"Sputnik V, EpiVacCorona",31050172,17673241,13376931,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-08,"Sputnik V, EpiVacCorona",31295788,17782159,13513629,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-09,"Sputnik V, EpiVacCorona",31605719,17954601,13651118,https://gogov.ru/articles/covid-v-stats
Russia,2021-06-10,"Sputnik V, EpiVacCorona",31953145,18119483,13833662,https://gogov.ru/articles/covid-v-stats
