location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Mongolia,2021-02-22,Oxford/AstraZeneca,0,https://thediplomat.com/2021/02/mongolia-starts-its-covid-19-vaccinations/,,
Mongolia,2021-02-25,Oxford/AstraZeneca,3112,https://ikon.mn/n/2527,3112,
Mongolia,2021-02-26,Oxford/AstraZeneca,4926,https://ikon.mn/n/253p,4926,
Mongolia,2021-02-27,Oxford/AstraZeneca,6808,https://ikon.mn/n/254x,6808,
Mongolia,2021-03-02,Oxford/AstraZeneca,9531,https://ikon.mn/n/257c,9531,
Mongolia,2021-03-04,Oxford/AstraZeneca,13200,https://ikon.mn/n/25ac,13200,
Mongolia,2021-03-09,Oxford/AstraZeneca,20976,https://ikon.mn/n/25g4,20976,
Mongolia,2021-03-10,Oxford/AstraZeneca,30446,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-11-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1104/,30446,
Mongolia,2021-03-11,Oxford/AstraZeneca,48265,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-11-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1104/,48265,
Mongolia,2021-03-12,Oxford/AstraZeneca,67489,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-12-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1105/,67489,
Mongolia,2021-03-13,Oxford/AstraZeneca,84017,https://covid19.mohs.mn/p/2021-%D0%BE%D0%BD%D1%8B-03-%D0%B4%D1%83%D0%B3%D0%B0%D0%B0%D1%80-%D1%81%D0%B0%D1%80%D1%8B%D0%BD-11-%D3%A9%D0%B4%D1%80%D0%B8%D0%B9%D0%BD-%D0%BD%D3%A9%D1%85%D1%86%D3%A9%D0%BB-%D0%B1%D0%B0%D0%B9%D0%B4%D0%BB%D1%8B%D0%BD-%D0%BC%D1%8D%D0%B4%D1%8D%D1%8D/1104/,84017,
Mongolia,2021-03-14,Oxford/AstraZeneca,100000,https://ikon.mn/,100000,
Mongolia,2021-03-15,Oxford/AstraZeneca,118294,https://ikon.mn/,118294,
Mongolia,2021-03-16,Oxford/AstraZeneca,126449,https://ikon.mn/,126449,
Mongolia,2021-03-17,Oxford/AstraZeneca,139636,https://ikon.mn/,139636,
Mongolia,2021-03-18,Oxford/AstraZeneca,171535,https://ikon.mn/,171535,
Mongolia,2021-03-19,Oxford/AstraZeneca,189969,https://ikon.mn/,189969,
Mongolia,2021-03-20,Oxford/AstraZeneca,204121,https://ikon.mn/,204121,
Mongolia,2021-03-21,Oxford/AstraZeneca,209278,https://ikon.mn/,209278,
Mongolia,2021-03-23,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",223444,https://ikon.mn/,223444,
Mongolia,2021-03-24,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",256979,https://ikon.mn/,256979,
Mongolia,2021-03-27,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",276068,https://ikon.mn/,276068,
Mongolia,2021-03-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",279069,https://ikon.mn/,279069,
Mongolia,2021-03-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",290108,https://ikon.mn/,290108,
Mongolia,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",300366,https://ikon.mn/,300366,
Mongolia,2021-04-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",311262,https://ikon.mn/,311262,
Mongolia,2021-04-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",323690,https://ikon.mn/,323690,
Mongolia,2021-04-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",336758,https://ikon.mn/,336758,
Mongolia,2021-04-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",376373,https://ikon.mn/,376373,
Mongolia,2021-04-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",414382,https://ikon.mn/,414382,
Mongolia,2021-04-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",466946,https://ikon.mn/,466946,
Mongolia,2021-04-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",569825,https://ikon.mn/,569825,
Mongolia,2021-04-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",599132,https://ikon.mn/,599132,
Mongolia,2021-04-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,609875,
Mongolia,2021-04-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,616906,
Mongolia,2021-04-13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,627168,
Mongolia,2021-04-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,630516,
Mongolia,2021-04-16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,632812,
Mongolia,2021-04-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,634240,
Mongolia,2021-04-20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,637415,
Mongolia,2021-04-22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",670842,https://ikon.mn/,649236,21606
Mongolia,2021-04-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,651060,
Mongolia,2021-04-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,660548,
Mongolia,2021-04-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,678692,
Mongolia,2021-04-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",,https://ikon.mn/,707838,
Mongolia,2021-04-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1007030,https://ikon.mn/,744564,262466
Mongolia,2021-04-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1080571,https://ikon.mn/,782314,298257
Mongolia,2021-04-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1138662,https://ikon.mn/,811452,327210
Mongolia,2021-04-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1208619,https://ikon.mn/,845693,362926
Mongolia,2021-05-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1296538,https://ikon.mn/,887248,409290
Mongolia,2021-05-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1398592,https://ikon.mn/,947529,451063
Mongolia,2021-05-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1532522,https://ikon.mn/,1037675,494847
Mongolia,2021-05-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1661497,https://ikon.mn/,1128680,532817
Mongolia,2021-05-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1756434,https://ikon.mn/,1208913,547521
Mongolia,2021-05-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1946350,https://ikon.mn/,1356678,589672
Mongolia,2021-05-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2086853,https://ikon.mn/,1476779,610074
Mongolia,2021-05-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2154623,https://ikon.mn/,1536715,617908
Mongolia,2021-05-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2213376,https://ikon.mn/,1590636,622740
Mongolia,2021-05-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2271109,https://ikon.mn/,1643030,628079
Mongolia,2021-05-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2309864,https://ikon.mn/,1678198,631666
Mongolia,2021-05-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2347229,https://ikon.mn/,1712577,634652
Mongolia,2021-05-13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2372848,https://ikon.mn/,1735389,637459
Mongolia,2021-05-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2398067,https://ikon.mn/,1758608,639459
Mongolia,2021-05-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2411556,https://ikon.mn/,1770527,641029
Mongolia,2021-05-16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2422303,https://ikon.mn/,1778612,643691
Mongolia,2021-05-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2444245,https://ikon.mn/,1792657,651588
Mongolia,2021-05-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2468557,https://ikon.mn/,1802270,666287
Mongolia,2021-05-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2495668,https://ikon.mn/,1810479,685189
Mongolia,2021-05-20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2522900,https://ikon.mn/,1818876,704024
Mongolia,2021-05-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2556277,https://ikon.mn/,1824984,731293
Mongolia,2021-05-22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2580962,https://ikon.mn/,1827826,753136
Mongolia,2021-05-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2604563,https://ikon.mn/,1830623,773940
Mongolia,2021-05-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2664014,https://ikon.mn/,1836501,827513
Mongolia,2021-05-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2729983,https://ikon.mn/,1841111,888872
Mongolia,2021-05-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2787884,https://ikon.mn/,1843635,944249
Mongolia,2021-05-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2872572,https://ikon.mn/,1847246,1025326
Mongolia,2021-05-28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3027240,https://ikon.mn/,1852565,1174675
Mongolia,2021-05-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3083871,https://ikon.mn/,1854643,1229228
Mongolia,2021-05-31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3165008,https://ikon.mn/,1858546,1306462
Mongolia,2021-06-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3182775,https://ikon.mn/,1859509,1323266
Mongolia,2021-06-02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3234111,https://ikon.mn/,1860915,1373196
Mongolia,2021-06-03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3305569,https://ikon.mn/,1865857,1439712
Mongolia,2021-06-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3358051,https://ikon.mn/,1869199,1488852
Mongolia,2021-06-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3380812,https://ikon.mn/,1870788,1510024
Mongolia,2021-06-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3397608,https://ikon.mn/,1872056,1525552
Mongolia,2021-06-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3436701,https://ikon.mn/,1875003,1561698
Mongolia,2021-06-08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3481129,https://ikon.mn/,1884272,1596857
Mongolia,2021-06-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3508471,https://ikon.mn/,1887425,1621046
Mongolia,2021-06-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3528572,https://ikon.mn/,1890678,1637894
Mongolia,2021-06-12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3534495,https://ikon.mn/,1891804,1642691
Mongolia,2021-06-13,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3538289,https://ikon.mn/,1892396,1645893
Mongolia,2021-06-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3552788,https://ikon.mn/,1894995,1657793
Mongolia,2021-06-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3565805,https://ikon.mn/,1897956,1667849
Mongolia,2021-06-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3588146,https://ikon.mn/,1903859,1684287
Mongolia,2021-06-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3599557,https://ikon.mn/,1907878,1691679
Mongolia,2021-06-20,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3608480,https://ikon.mn/,1912235,1696245
