location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
Chad,2021-06-10,Sinopharm/Beijing,5324,https://covid19.who.int/,5324,0
Chad,2021-06-23,Sinopharm/Beijing,8981,https://africacdc.org/covid-19-vaccination/,8981,0
Chad,2021-06-28,Sinopharm/Beijing,9799,https://covid19.who.int/,9799,0
Chad,2021-07-05,Sinopharm/Beijing,14604,https://covid19.who.int/,10920,3684
Chad,2021-07-07,Sinopharm/Beijing,20478,https://africacdc.org/covid-19-vaccination/,15966,4512
Chad,2021-07-15,Sinopharm/Beijing,24459,https://africacdc.org/covid-19-vaccination/,18484,5975
Chad,2021-07-21,Sinopharm/Beijing,28810,https://africacdc.org/covid-19-vaccination/,21581,7229
Chad,2021-07-29,Sinopharm/Beijing,29980,https://africacdc.org/covid-19-vaccination/,22445,7535
Chad,2021-08-05,Sinopharm/Beijing,36173,https://africacdc.org/covid-19-vaccination/,26511,9662
Chad,2021-08-12,Sinopharm/Beijing,40649,https://africacdc.org/covid-19-vaccination/,29786,10863
