location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated
British Virgin Islands,2021-05-21,Oxford/AstraZeneca,15031,https://covid19.who.int/,11255,3776
British Virgin Islands,2021-05-28,Oxford/AstraZeneca,16302,https://covid19.who.int/,11553,4749
British Virgin Islands,2021-06-11,Oxford/AstraZeneca,19534,https://covid19.who.int/,12245,7289
British Virgin Islands,2021-06-18,Oxford/AstraZeneca,20278,https://covid19.who.int/,12405,7873
British Virgin Islands,2021-06-25,Oxford/AstraZeneca,21403,https://covid19.who.int/,12562,8841
British Virgin Islands,2021-07-02,Oxford/AstraZeneca,22247,https://covid19.who.int/,12993,9254
British Virgin Islands,2021-07-09,Oxford/AstraZeneca,22837,https://covid19.who.int/,13439,9398
British Virgin Islands,2021-07-16,Oxford/AstraZeneca,24112,https://covid19.who.int/,13999,10113
British Virgin Islands,2021-07-23,Oxford/AstraZeneca,26501,https://covid19.who.int/,15620,10881
British Virgin Islands,2021-07-30,Oxford/AstraZeneca,27883,https://covid19.who.int/,16445,11438
British Virgin Islands,2021-08-06,"Johnson&Johnson, Oxford/AstraZeneca",28777,https://covid19.who.int/,16590,
