location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated,total_boosters
Sint Maarten (Dutch part),2021-05-07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",24634,https://covid19.who.int/,14678,9956,
Sint Maarten (Dutch part),2021-05-14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",26121,https://covid19.who.int/,15304,10817,
Sint Maarten (Dutch part),2021-05-21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",27285,https://covid19.who.int/,15906,11379,
Sint Maarten (Dutch part),2021-05-28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",29055,https://covid19.who.int/,17024,12031,
Sint Maarten (Dutch part),2021-06-04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",32025,https://covid19.who.int/,18558,13467,
Sint Maarten (Dutch part),2021-06-11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",34039,https://covid19.who.int/,19541,14498,
Sint Maarten (Dutch part),2021-06-18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",36209,https://covid19.who.int/,20358,15851,
Sint Maarten (Dutch part),2021-06-25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",38290,https://covid19.who.int/,21130,17160,
Sint Maarten (Dutch part),2021-07-02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",39460,https://covid19.who.int/,21649,17811,
Sint Maarten (Dutch part),2021-07-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",41593,https://covid19.who.int/,22630,18963,
Sint Maarten (Dutch part),2021-07-16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",43170,https://covid19.who.int/,23528,19642,
Sint Maarten (Dutch part),2021-07-23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",44042,https://covid19.who.int/,23885,20157,
Sint Maarten (Dutch part),2021-07-30,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",45346,https://covid19.who.int/,24242,21104,
Sint Maarten (Dutch part),2021-08-06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",46497,https://covid19.who.int/,24545,21952,
Sint Maarten (Dutch part),2021-08-09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",46616,https://covid19.who.int/,24599,22017,
