date,people_vaccinated,people_fully_vaccinated,total_vaccinations,location,source_url,vaccine
2021-03-17,0,,0,Fiji,https://reliefweb.int/report/fiji/fiji-starts-covid-19-vaccination,Oxford/AstraZeneca
2021-04-13,6278,,6278,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-04-15,27705,0,27705,Fiji,https://www.bignewsnetwork.com/news/268723193/fiji-hopes-to-complete-administering-all-available-covid-19-vaccines-soon,Oxford/AstraZeneca
2021-04-16,56000,0,56000,Fiji,https://twitter.com/FijiPM/status/1382948915968823298,Oxford/AstraZeneca
2021-04-20,56000,,56000,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-05-11,93000,,93000,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-05-25,107014,2913,109927,Fiji,http://www.health.gov.fj/covid-19-situation-update-5/,Oxford/AstraZeneca
2021-06-01,136247,,136247,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-06-08,218830,4599,223429,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-06-15,237940,4599,242539,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
2021-06-21,256018,17990,274008,Fiji,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,Oxford/AstraZeneca
