date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,source_url,vaccine
2021-01-21,0,0,0,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-01-22,108,108,0,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-01-27,2982,2982,0,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-02-04,6228,6228,0,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-02-17,8190,6228,1962,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-02-24,24492,20784,3708,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-01,42114,35886,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-04,59316,53088,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-05,71148,64920,6228,Ecuador,https://github.com/andrab/ecuacovid,Pfizer/BioNTech
2021-03-08,74472,68244,6228,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-09,75258,69030,6228,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-11,95915,89687,6228,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-12,123176,116948,6228,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-13,139359,119222,20137,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-15,141191,121054,20137,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-21,178970,140765,38205,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-23,182261,143614,38647,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-24,191179,152526,38653,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-26,230770,172413,58357,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-27,235000,174642,60358,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-03-29,244866,182329,62537,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-01,283106,204902,78204,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-04,301069,211720,89349,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-05,335093,228504,106589,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-06,356783,244159,112624,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-08,363255,250631,112624,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-14,480962,338180,142782,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-15,485132,338180,146952,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-16,514151,354019,160132,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-17,545132,377199,167933,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-18,554369,384093,170276,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-19,577711,401871,175840,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-20,601229,421937,179292,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-21,643702,457403,186299,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-22,675510,486524,188986,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-23,711204,514854,196350,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-24,732717,532367,200350,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-25,743937,541420,202517,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-26,765489,555265,210224,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-27,816175,595699,220476,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-28,861393,633421,227972,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-29,920865,691000,229865,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-04-30,987452,748021,239431,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-01,1036794,791822,244972,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-02,1067472,821960,245512,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-04,1141262,889218,252044,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-05,1182085,924539,257546,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-06,1215676,953238,262438,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-07,1245822,981620,264202,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-09,1289962,1024121,265841,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-11,1339196,1066590,272606,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-12,1355698,1076427,279271,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-13,1405898,1101897,304001,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-14,1456293,1138269,318024,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-15,1485936,1152298,333638,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-16,1524724,1179062,345662,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-17,1560453,1203517,356936,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-18,1583399,1203778,379621,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-19,1627070,1225735,401335,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-20,1727805,1299730,428075,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-22,1893053,1404426,488627,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-23,1946346,1448787,497559,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-25,2025156,1509795,515361,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-27,2110324,1526895,583429,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-28,2172656,1538178,634478,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-29,2205483,1552480,653003,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-05-30,2225005,1562970,662035,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-01,2387698,1622557,765141,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-02,2447889,1657029,790860,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-03,2529218,1702124,827094,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-04,2597836,1744825,853011,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-05,2645983,1774025,871958,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-06,2665806,1791632,874174,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-07,2717072,1825096,891976,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-08,2788245,1877548,910697,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-13,3081172,2043159,1038013,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-15,3133387,2079889,1053498,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-19,3558254,2351838,1206416,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
2021-06-20,3580667,2368971,1211696,Ecuador,https://github.com/andrab/ecuacovid,"Pfizer/BioNTech, Oxford/AstraZeneca, Sinovac"
