date,total_vaccinations,people_vaccinated,people_fully_vaccinated,location,vaccine,source_url
2021-02-27,35,35,0,San Marino,Sputnik V,https://vaccinocovid.iss.sm/
2021-03-01,275,275,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-02,580,580,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-03,883,883,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-04,1383,1383,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-05,1880,1880,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-06,2339,2339,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-08,2700,2700,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-09,3065,3065,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-10,3668,3668,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-11,4284,4284,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-12,4806,4806,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-13,4832,4832,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-14,5130,5130,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-15,5430,5430,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-16,6087,6087,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-17,6738,6738,0,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-18,7328,7299,29,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-19,7923,7888,35,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-22,8553,8293,260,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-23,9084,8578,506,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-24,9461,8607,854,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-26,10308,8633,1675,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-30,11759,8779,2980,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-03-31,12341,8818,3523,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-02,12950,8829,4121,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-03,13475,8830,4645,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-06,14102,8837,5265,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-07,14797,8876,5921,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-08,15673,9021,6652,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-09,16407,9187,7220,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-10,16889,9187,7702,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-13,18835,10437,8398,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-15,20424,11989,8435,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-16,21384,12948,8436,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-17,21390,12948,8442,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-18,21905,13460,8445,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-20,23272,14699,8573,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-21,24262,15621,8641,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-22,25141,16486,8655,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-23,26025,17368,8657,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-26,26895,18234,8661,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-27,27752,19091,8661,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-04-29,28970,20269,8701,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-02,29941,20963,8978,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-04,30964,21172,9792,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-05,31886,21192,10694,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-07,34011,21389,12622,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-23,42067,21390,20677,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-24,42187,21507,20680,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-25,42447,21511,20936,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-26,42448,21512,20936,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-27,42476,21537,20939,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-30,42529,21571,20958,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-05-31,42934,21580,21354,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-06-01,42935,21581,21354,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-06-03,42936,21581,21355,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-06-06,42962,21607,21355,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-06-07,43192,21612,21580,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-06-10,43471,21768,21703,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-06-13,43506,21783,21723,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-06-14,43651,,21865,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
2021-06-15,43670,,21879,San Marino,"Pfizer/BioNTech, Sputnik V",https://vaccinocovid.iss.sm/
