location,date,vaccine,total_vaccinations,people_vaccinated,source_url,people_fully_vaccinated
Moldova,2021-03-05,"Oxford/AstraZeneca, Pfizer/BioNTech",3849,3849,https://msmps.gov.md/comunicare/comunicate/republica-moldova-este-prima-tara-din-regiunea-europeana-care-a-receptionat-vaccinul-impotriva-covid-19-prin-mecanismul-covax/,
Moldova,2021-03-10,"Oxford/AstraZeneca, Pfizer/BioNTech",6447,6447,https://vaccinare.gov.md/,0
Moldova,2021-03-11,"Oxford/AstraZeneca, Pfizer/BioNTech",8116,8116,https://vaccinare.gov.md/,0
Moldova,2021-03-12,"Oxford/AstraZeneca, Pfizer/BioNTech",9341,9341,https://vaccinare.gov.md/,0
Moldova,2021-03-13,"Oxford/AstraZeneca, Pfizer/BioNTech",11431,11431,https://vaccinare.gov.md/,0
Moldova,2021-03-15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",12754,12754,https://vaccinare.gov.md/,0
Moldova,2021-03-16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",14814,14814,https://vaccinare.gov.md/,0
Moldova,2021-03-17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",16131,16131,https://vaccinare.gov.md/,0
Moldova,2021-03-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",18593,18593,https://vaccinare.gov.md/,0
Moldova,2021-03-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",20494,20494,https://vaccinare.gov.md/,0
Moldova,2021-03-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",21194,21194,https://vaccinare.gov.md/,0
Moldova,2021-03-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",23454,23454,https://vaccinare.gov.md/,0
Moldova,2021-03-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",27445,27445,https://vaccinare.gov.md/,0
Moldova,2021-03-26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",30722,30722,https://vaccinare.gov.md/,0
Moldova,2021-03-27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",33885,33885,https://vaccinare.gov.md/,0
Moldova,2021-03-31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",40321,40321,https://vaccinare.gov.md/,0
Moldova,2021-04-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",42154,42154,https://vaccinare.gov.md/,0
Moldova,2021-04-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",47524,47524,https://vaccinare.gov.md/,0
Moldova,2021-04-06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",51574,51574,https://vaccinare.gov.md/,0
Moldova,2021-04-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",54907,54907,https://vaccinare.gov.md/,0
Moldova,2021-04-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",57561,57561,https://vaccinare.gov.md/,0
Moldova,2021-04-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",64179,64179,https://vaccinare.gov.md/,0
